"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"138851","US-SRM",31.8214,-110.8661,"2014-08-28 10:30:00","WSA","Arid",30.08,904,26.484,3.135,2.528,385.243,0.0379,0.62769967,0,1,1,1,0.0373855172963599
"388909","IT-SRo",43.7279,10.2844,"2004-03-29 15:30:00","ENF","Temperate",16.05,478.8,58.2656,0.7615,2.933,388.19,0.3241,2.1323528,0,1,1,0,0.329392990542046
"627191","DE-Gri",50.95,13.5126,"2010-03-25 10:00:00","GRA","Continental",16.937,602.6,46.1167,1.0402,2.591,391.426,0.44503,2.2748733,0,1,1,0,0.205621796040688
"343690","RU-Fyo",56.4615,32.9221,"2006-06-30 10:30:00","ENF","Continental",13.59,218.59,80.1667,0.3088,2.096,380.608,0.5593,2.8979957,0,1,1,1,0.712123903646634
"517120","FR-LBr",44.7171,-0.7693,"2006-06-06 18:00:00","ENF","Temperate",27.24,300.55,27,2.6403,3.46,347.222,0.40938,1.9557757,0,1,1,1,0.0770277449721045
"944239","AU-DaS",-14.1593,131.3881,"2014-08-16 10:00:00","SAV","Tropical",19.97,640,16,1.9611,4.02,377.8,0.0289999999999999,1.0884514,0,1,1,0,0.0896380530097072
"704924","CA-TP3",42.7068,-80.3483,"2009-07-14 15:00:00","ENF","Continental",20.71,833.56,51.63,1.182,4.571,375.852,0.07,4.1852384,0,1,1,1,0.150343741756499
"216770","US-Me2",44.4523,-121.5574,"2004-08-09 15:00:00","ENF","Temperate",27.7,643,21.2,2.913,2.45,369.2,0.103,2.1056118,0,1,1,0,0.0535010845717073
"877149","AU-GWW",-30.1913,120.6541,"2013-06-22 13:00:00","SAV","Arid",16.26,580,38,1.1465,2.38,382,0.179,0.30000001,0,1,1,1,0.06309389741313
"91207","US-Ton",38.4309,-120.966,"2008-11-20 13:00:00","WSA","Temperate",15.98,274.552,76.4,0.429,1.85,377.082,0.14001,0.70673978,0,1,1,0,0.0885952030431001
