,Unnamed: 0,Site,Lat,Lon,Datetime,PFT,Climate,Tair,SW,RH,VPD,WS,Ca,SWC,LAI,flag_rain,flag_daytime,flag_GS,flag_peak,Gs
3212,796086,AU-Wom,-37.4222,144.0944,2014-08-30 10:30:00,EBF,Temperate,11.28,633.0,68.0,0.4281,3.63,377.3,0.271,4.0253835,0,1,1,0,0.711906157228031
1759,185860,US-NR1,40.0329,-105.5464,2010-09-10 11:30:00,ENF,Continental,8.16,948.39,36.46,0.689,5.8,384.665,0.049,2.3573544,0,1,1,0,0.138195850063348
4579,859730,AU-How,-12.4943,131.1523,2010-06-20 10:30:00,WSA,Tropical,25.22,685.0,40.0,1.9262,3.19,365.2,0.063,1.5271446,0,1,1,0,0.318202633619432
326,338606,SD-Dem,13.2829,30.4783,2008-10-11 15:00:00,SAV,Arid,33.65,169.8,36.8333,3.2959,1.71,374.51,0.093,0.437879,0,1,1,0,0.0079295310377988
2608,127695,US-SRM,31.8214,-110.8661,2010-04-20 11:30:00,WSA,Arid,22.96,1029.0,30.732,1.941,4.749,393.418,0.0272,0.35156778,0,1,1,0,0.0242692697899391
1383,400734,IT-SR2,43.732,10.2909,2014-07-25 17:30:00,ENF,Temperate,26.14,253.534,70.05,1.0154,0.851,371.429,0.19975,2.5264046,0,1,1,1,0.241720643595968
1724,953327,AU-Cum,-33.6152,150.7236,2014-03-13 10:00:00,EBF,Temperate,21.38,372.0,71.0,0.7384,1.14,383.7,0.0969999999999999,2.1060908,0,1,1,0,0.449465149015569
1086,787771,AU-Ync,-34.9893,146.2907,2013-09-01 08:30:00,GRA,Arid,15.47,445.0,58.0,0.7384,4.15,377.2,0.148,1.2047852,0,1,1,1,0.189972605411967
2523,661172,CH-Fru,47.1158,8.5378,2010-06-16 07:30:00,GRA,Arctic,12.155,25.428,99.976,0.0003,2.711,355.646,0.4722,2.8089285,0,1,1,0,3.63116808413302
341,941038,AU-DaS,-14.1593,131.3881,2013-10-06 11:00:00,SAV,Tropical,32.42,903.0,38.0,3.0194,2.22,388.2,0.0289999999999999,1.2737627,0,1,1,0,0.123551276816511
3701,162715,US-SRC,31.9083,-110.8395,2012-07-12 11:30:00,OSH,Arid,34.1,754.0,29.464,3.775,2.35,384.0,0.0942,0.29327849,0,1,1,1,0.0143626862115302
